mjd flux
58097.16119198 59996470.23907471
58097.16320606 59988292.864349365
58097.16521976 59995732.9281311
58097.16723383 59996642.55761719
58097.16924754 60010038.88705444
58097.17126161 60016383.85083008
58097.17327531 60013763.978637695
58097.20729161 59520020.229644775
58097.20930531 59521745.723083496
58097.21131939 59512506.512145996
58097.21333309 59500132.35119629
58097.21534717 59512933.02722168
58097.21736087 59514606.06845093
58097.21937494 59515557.67700195
58097.22138865 59511998.28945923
58097.22340272 59500916.5597229
58097.22541643 59528926.74911499
58097.2274305 59528354.064941406
58097.2294442 59508377.8994751
58097.23145828 59514956.83459473
58097.23347198 59518668.84820557
58097.23548606 59533178.44342041
58097.23749976 59547964.4526062
58097.23951383 59598457.37512207
58097.27351828 59978379.307281494
58097.27553235 60007807.65011597
58097.27754606 60003327.01211548
58097.27956013 59998483.24359131
58097.28157383 60028451.11218262
58097.28358791 60016993.98339844
58097.28560161 60019217.74145508
58097.28761568 60021589.41305542
58097.28962939 60027764.895599365
58097.29164346 60031263.734069824
58097.29365717 60010789.60021973
58097.29567124 60028107.70770264
58097.29768494 60020562.31997681
58097.29969902 60008949.246795654
58097.30171272 60023899.27832031
58097.3037268 60021636.19052124
58097.3057405 60025438.06259155
58097.33974531 59970755.94454956
58097.34175902 59980718.48309326
58097.34377309 60004077.77819824
58097.3457868 60007654.25595093
58097.34780087 60014284.673461914
58097.34981457 60038098.41918945
